Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0261,422725603917276.94,52204.57970602628,9.51435421047697e+40,5328016230076.534,527805.1684035911,2.33507169171176e+42
0262,642137064614263.0,50796.96148686583,1.5998751911042027e+40,1520050384515.9585,584205.2955044999,8.591626156005174e+41
0263,496469822312222.06,49427.297582481406,5.065969067275465e+40,2986496787575.317,584205.2955044999,6.615527142176635e+42
0264,465542285604540.44,49427.297582481406,4.720874545751552e+40,5328016230076.534,545972.6933965883,3.336744123965629e+42
0265,512695747968727.56,49427.297582481406,8.055602016891003e+40,23390586817239.848,351646.4488109529,5.497884044861221e+42
0266,496469822312222.06,49427.297582481406,5.601306347821148e+40,2309017203911.472,691913.6638317006,9.892616760226748e+42
0267,371698759473522.7,50796.96148686583,2.1089694004519245e+40,3622123169553.179,604314.1632126757,5.86392032251299e+42
0268,583078673689622.1,48094.56461168163,1.7537056697868632e+40,2030297721130.8652,604314.1632126757,1.4845031189387798e+42
0269,621814547189458.4,50796.96148686583,1.0192333693275787e+41,879875767023.7208,584205.2955044999,1.0769191630510891e+42
0270,546755847460193.56,46797.76678721456,6.364281411048488e+40,1253305141158.283,938269.1975493444,6.823017857619587e+42
0271,602135201973896.6,48094.56461168163,1.182755917995799e+41,393776547445.22125,938269.1975493444,4.141437086891201e+41
0272,621814547189458.4,46797.76678721456,1.5098815648288516e+41,294814000000.0001,715729.9497136263,1.6480967600055432e+43
0273,621814547189458.4,49427.297582481406,5.922888788393852e+40,294814000000.0001,740366.0134130177,5.08612744860323e+39
0274,621814547189458.4,50796.96148686583,7.39635979418787e+40,22650315566186.54,938269.1975493444,0.0015102796266278043
0275,602135201973896.6,52204.57970602628,1.2423075891673135e+41,968995896705.6782,970565.2607883513,0.0011635577000054245
0276,621814547189458.4,49427.297582481406,3.820665916136167e+40,304449288655.0435,970565.2607883513,0.00027830036480816647
0277,529451979097141.0,52204.57970602628,5.059214121149075e+40,3888408830455123.0,819479.9360447068,7.539349221710127e-08
0278,529451979097141.0,52204.57970602628,5.095676714298637e+40,314399483615.30316,545972.6933965883,1.5487015780721037e+41
0279,422725603917276.94,52204.57970602628,7.17426112086877e+40,4119368615813.722,493263.6037355609,5.269802512455134e+41
0280,450808684738713.25,50796.96148686583,2.623754221284121e+40,2542891030606.955,646632.2190966592,8.146193391899027e+42
0281,621814547189458.4,50796.96148686583,2.659501706008228e+40,879875767023.7208,625115.1960956908,9.818745844591569e+41
0282,371698759473522.7,49427.297582481406,2.3020119108523125e+40,4837989905933.884,460982.5695836015,6.499912957130605e+42
0283,564625251267719.1,49427.297582481406,3.3445703587069635e+40,2030297721130.8652,646632.2190966592,1.209037429820751e+42
0284,529451979097141.0,49427.297582481406,9.421544108087044e+40,4254000301181.0786,460982.5695836015,2.4893937400365076e+43
0285,409347076302336.4,50796.96148686583,6.743303880364682e+40,4254000301181.0786,545972.6933965883,2.3117308052784187e+42
