Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0320,359935142432174.0,50796.96148686583,3.7063153997544007e+40,2462412967391.7036,715729.9497136263,1.3524371013393853e+43
0321,529451979097141.0,48094.56461168163,1.1411845093475296e+41,4254000301181.0786,402620.02379144216,1.9573705207598264e+41
0322,337513019616912.56,53651.20397974041,5.330089085268385e+40,4536607820492.515,493263.6037355609,1.2094215486496942e+43
0323,512695747968727.56,53651.20397974041,1.29962891531343e+41,1785222227641.4202,476850.00108219223,2.2083953518965954e+42
0324,583078673689622.1,49427.297582481406,3.6527040110550386e+40,3084103273751.8486,430814.1282887437,2.5548449411391123e+42
0325,583078673689622.1,50796.96148686583,8.961717468428136e+40,10468142054606.785,317697.9300964932,1.7522035141053016e+41
0326,546755847460193.56,50796.96148686583,1.2769448227437485e+41,7589287469431.688,339945.2305545469,2.529777107536172e+40
0327,337513019616912.56,52204.57970602628,1.3300068157466404e+40,2309017203911.472,691913.6638317006,2.959447806102448e+43
0328,529451979097141.0,49427.297582481406,2.361849276977357e+40,852029234573.9205,740366.0134130177,1.8359045620915892e+42
0329,396391955737937.4,50796.96148686583,4.841579394922824e+40,2891979376341.5117,691913.6638317006,1.2998536074353442e+43
0330,480757418884944.3,50796.96148686583,8.434599286986025e+40,2384481894425.3154,668889.877234506,5.645254329932742e+42
0331,583078673689622.1,50796.96148686583,5.219863669124741e+40,1000665204032.711,604314.1632126757,1.082386461047142e+42
0332,422725603917276.94,49427.297582481406,6.184359270235468e+40,4254000301181.0786,564765.5608154068,2.804116775954453e+42
0333,496469822312222.06,49427.297582481406,7.217238902507302e+40,2891979376341.5117,668889.877234506,2.089162479975521e+42
0334,546755847460193.56,52204.57970602628,8.022821912778568e+40,1213640220733.4148,792211.3154718872,3.6256927232578826e+42
0335,529451979097141.0,49427.297582481406,1.2039638213560647e+41,1520050384515.9585,819479.9360447068,4.8873392418481175e+42
0336,512695747968727.56,53651.20397974041,1.0993630994281223e+41,509312963097.6717,765850.0724140495,3.36346544844937e+42
0337,512695747968727.56,53651.20397974041,8.067421167052678e+40,617711792580.77,564765.5608154068,7.000391861153952e+42
0338,512695747968727.56,53651.20397974041,5.256322004106549e+40,433661061020.06433,527805.1684035911,2.5431584224152427e+42
0339,564625251267719.1,52204.57970602628,7.635113403819804e+39,680278074235.6105,510242.17724234634,2.6749829459486087e+42
0340,529451979097141.0,52204.57970602628,4.681599818617149e+40,1425359001572.086,792211.3154718872,2.5345317116205263e+42
0341,529451979097141.0,49427.297582481406,5.936993998580016e+40,680278074235.6105,691913.6638317006,5.82810504229485e+42
0342,583078673689622.1,49427.297582481406,7.083122887319062e+40,294814000000.0001,646632.2190966592,1.5420288319485129e+41
0343,564625251267719.1,50796.96148686583,4.851273983829095e+40,1569729586402.6428,527805.1684035911,2.455776779053e+41
0344,480757418884944.3,52204.57970602628,4.027950746950512e+40,1843567935364.6787,847687.1668764589,4.7796859474353306e+42
0345,422725603917276.94,49427.297582481406,1.613921628449438e+40,2625999326339.922,691913.6638317006,2.7959141023865767e+43
0346,621814547189458.4,49427.297582481406,4.295071298206852e+40,938328867685.6477,668889.877234506,4.344582539441831e+42
0347,621814547189458.4,48094.56461168163,5.060350879311611e+40,1000665204032.711,527805.1684035911,4.7620860577316994e+42
0348,642137064614263.0,49427.297582481406,9.74542429426613e+40,773666719174.0092,493263.6037355609,3.042804795289245e+42
0349,496469822312222.06,46797.76678721456,4.522728810390884e+39,2165177213798.77,668889.877234506,3.064740846372482e+43
0350,529451979097141.0,48094.56461168163,4.3013654423413805e+40,2462412967391.7036,691913.6638317006,9.305942149073443e+42
