Spec_File,OptUV_Radius_cm,OptUV_Temperature_K,OptUV_ChiSquare,SoftX_Radius_cm,SoftX_Temperature_K,SoftX_ChiSquare
0353,359935142432174.0,39719.147316981514,6.664921493688438e+41,2462412967391.7036,510242.17724234634,3.990893132137556e+41
0354,260949006234250.75,39719.147316981514,3.805729544048065e+41,2986496787575.317,416478.5643719295,4.690890485023261e+41
0355,396391955737937.4,40819.79179996614,1.1126812896690638e+42,3622123169553.179,389222.6333479636,8.844642629075786e+40
0356,436541376626919.4,39719.147316981514,1.3585382497444822e+42,1785222227641.4202,460982.5695836015,1.184453767933762e+41
0357,260949006234250.75,39719.147316981514,1.647296260071598e+41,1843567935364.6787,376271.0480311265,1.2605987572706094e+41
0358,236949101430692.06,39719.147316981514,1.2237142996000984e+41,6461996247578.049,307126.36643578357,2.140734382444316e+40
0359,222188381437239.4,39719.147316981514,9.846353453422266e+40,6673191099699.122,307126.36643578357,1.1939429397478832e+40
0360,208347178983248.0,39719.147316981514,6.606226018767394e+40,1425359001572.086,493263.6037355609,4.435828626323135e+41
0361,229450075898644.53,39719.147316981514,1.3982113840927945e+41,2165177213798.77,389222.6333479636,2.6746365592408446e+41
0362,229450075898644.53,39719.147316981514,1.753406045457494e+41,4684875968766.25,351646.4488109529,4.477811689666422e+40
0363,229450075898644.53,39719.147316981514,1.7728814225753556e+41,2986496787575.317,402620.02379144216,9.051324478480726e+40
0364,260949006234250.75,40819.79179996614,4.502393099854537e+41,4119368615813.722,363750.433443757,4.332081433784407e+40
0365,383846842129873.5,40819.79179996614,1.184107746865615e+42,1785222227641.4202,363750.433443757,8.757242607604263e+39
0366,252690425600276.66,39719.147316981514,2.5335309038787205e+41,3184899793878.313,389222.6333479636,4.724091390823778e+40
0367,236949101430692.06,41950.93588729162,2.4642937661851257e+41,3396483377864.7783,328633.3764141353,2.634017979433911e+40
0368,252690425600276.66,40819.79179996614,2.5807303671371052e+41,4837989905933.884,307126.36643578357,5.781205718756789e+40
0369,316487680644833.06,39719.147316981514,4.542907244303785e+41,6257485343945.197,296906.57704756694,4.147937184233783e+40
0370,306471397892951.3,40819.79179996614,5.571719616600724e+41,4684875968766.25,296906.57704756694,7.438169641306106e+40
0371,244693214630330.4,39719.147316981514,8.77591545543852e+40,2891979376341.5117,339945.2305545469,1.422260805163961e+40
0372,260949006234250.75,39719.147316981514,1.4089294490451663e+41,3622123169553.179,287026.8564601882,6.255631975762775e+39
0373,260949006234250.75,39719.147316981514,2.271434409489253e+41,3084103273751.8486,287026.8564601882,2.730792954314303e+40
0374,244693214630330.4,39719.147316981514,1.1567556996700899e+41,2542891030606.955,287026.8564601882,2.217763103937285e+40
0375,229450075898644.53,39719.147316981514,1.00889826152401e+41,3507489292637.443,277475.8887076415,1.8606952637872724e+40
0376,215156506932285.7,41950.93588729162,1.6562972803862371e+41,2891979376341.5117,277475.8887076415,1.853256556281133e+40
0377,215156506932285.7,40819.79179996614,1.9957549326390583e+41,3396483377864.7783,268242.7343685689,1.295086629145281e+40
0378,215156506932285.7,39719.147316981514,8.390031341188807e+40,2711823817433.4067,268242.7343685689,1.050393296984734e+40
0379,229450075898644.53,39719.147316981514,2.6807735550026608e+41,5502149664498.068,259316.8180365392,1.4680440172100228e+40
0380,229450075898644.53,39719.147316981514,2.902118971391216e+41,6059446853495.872,259316.8180365392,4.6926009066355593e+39
